,school,cwur
1622,Georgi Regents University,424
1623,University of Chile,425
1624,Lncster University,426
1625,Vienn University of Technology,427
1626,University of Denver,428
1627,University of Arknss for Medicl Sciences,429
1628,Grenoble Institute of Technology,430
1629,University of Grnd,431
1630,University of Moden nd Reggio Emili,432
1631,Ajou University,433
1632,Gyeongsng Ntionl University,434
1633,Technicl University of Mdrid,435
1634,University College Cork,436
1635,Loyol University Chicgo,437
1636,Centrl South University,438
1637,South Chin University of Technology,439
1638,Polytechnic University of Vlenci,440
1639,West Virgini University,441
1640,University of Tmpere,442
1641,Southest University,443
1642,Mimi University,444
1643,University of Dyton,445
1644,University of Sien,446
1645,University of Oulu,447
1646,Indin Institute of Science,448
1647,Mcqurie University,449
1648,University of Rostock,450
1649,Jgiellonin University,451
1650,Pusn Ntionl University,452
1651,University of Strthclyde,453
1652,"University of Nevd, Reno",454
1653,University of Ssktchewn,455
1654,University of Prm,456
1655,Knzw University,457
1656,Eötvös Loránd University,458
1657,Aristotle University of Thessloniki,459
1658,Ohio University,460
1659,University of Icelnd,461
1660,University of Wrsw,462
1661,Syrcuse University,463
1662,Bielefeld University,464
1663,Juntendo University,465
1664,University of Wyoming,466
1665,University of Wollongong,467
1666,Niigt University,468
1667,Texs Tech University (TTU),469
1668,Middle Est Technicl University,470
1669,École normle supérieure de Lyon,471
1670,Brunel University,472
1671,Nihon University,473
1672,Osk City University,474
1673,University of Rennes 1,475
1674,University of Oklhom Helth Sciences Center,476
1675,Est Chin University of Science nd Technology,477
1676,University of KwZulu-Ntl,478
1677,Sichun University,479
1678,Illinois Institute of Technology,480
1679,Tokyo University of Science,481
1680,"University of Science, Mlysi",482
1681,Clemson University,483
1682,University of Zrgoz,484
1683,University of the Bsque Country,485
1684,Ngski University,486
1685,Technicl University of Dortmund,487
1686,University of Hwii t Mno,488
1687,University of Nebrsk Omh,489
1688,University of Konstnz,490
1689,Pnjb University,491
1690,University of Hnover,492
1691,"University of Mrylnd, Bltimore County",493
1692,University of Newcstle,494
1693,University of Ulsn,495
1694,Renmin University of Chin,496
1695,Mrtin Luther University of Hlle-Wittenberg,497
1696,University of Mly,498
1697,University of Svoy,499
1698,University of Udine,500
1699,Tokyo Metropolitn University,501
1700,University of Sherbrooke,502
1701,University of Bresci,503
1702,University of Ljubljn,504
1703,University of Nice Sophi Antipolis,505
1704,University of Hull,506
1705,University of Coimbr,507
1706,Creighton University,508
1707,Georgi Stte University,509
1708,"University of Wisconsin, Milwukee",510
1709,Ctholic University of Kore,511
1710,University of Tokushim,512
1711,Yokohm City University,513
1712,Lnzhou University,514
1713,University of Crete,515
1714,SUNY Downstte Medicl Center,516
1715,University of Potsdm,517
1716,Yokohm Ntionl University,518
1717,New Mexico Stte University,519
1718,University of Byreuth,520
1719,Br-Iln University,521
1720,University of Mississippi - Oxford Cmpus,522
1721,University of Tsmni,523
1722,Grdute University for Advnced Studies,524
1723,University of Surrey,525
1724,Federl University of Mins Geris,526
1725,University of Tromsø - The Arctic University of Norwy,527
1726,University of Plermo,528
1727,Shinshu University,529
1728,University of Science nd Technology Beijing,530
1729,University of Ctni,531
1730,Mhidol University,532
1731,University of Cnterbury,533
1732,Indin Institute of Technology Mdrs,534
1733,University of Bremen,535
1734,Otto-von-Guericke University Mgdeburg,536
1735,University of Trtu,537
1736,University of Windsor,538
1737,University of Nntes,539
1738,"Royl Hollowy, University of London",540
1739,Jmes Cook University,541
1740,Ntionl Yng-Ming University,542
1741,University of Akron,543
1742,Ntionl Chung Hsing University,544
1743,City University London,545
1744,New York Medicl College,546
1745,Nr Institute of Science nd Technology,547
1746,École Centrle Pris,548
1747,Auburn University,549
1748,University of Arknss - Fyetteville,550
1749,University of Zgreb,551
1750,University of Lübeck,552
1751,Hunn University,553
1752,"University of Missouri, Knss City",554
1753,Tokyo Women's Medicl University,555
1754,Montn Stte University - Bozemn,556
1755,University of Aveiro,557
1756,"Ntionl University of Irelnd, Glwy",558
1757,University of Oviedo,559
1758,Dongguk University,560
1759,University of Trento,561
1760,University Lille 1: Sciences nd Technologies,562
1761,Chng Gung University,563
1762,Ntionl Centrl University,564
1763,Alborg University,565
1764,Uth Stte University,566
1765,Bylor University,567
1766,Bngor University,568
1767,King Sud University,569
1768,University of Cgliri,570
1769,Kent Stte University,571
1770,Centrl Chin Norml University,572
1771,University of Fribourg,573
1772,Medicl University of Grz,574
1773,Second University of Nples,575
1774,Interntionl School for Advnced Studies,576
1775,Tmpere University of Technology,577
1776,Inh University,578
1777,Dekin University,579
1778,Ntionl Polytechnic Institute of Toulouse,580
1779,Sogng University,581
1780,University of Ionnin,582
1781,Federl University of Rio Grnde do Sul,583
1782,University of Grz,584
1783,University of Montn - Missoul,585
1784,Est Chin Norml University,586
1785,Plymouth University,587
1786,Victori University of Wellington,588
1787,Federl University of São Pulo,589
1788,Southern Illinois University Crbondle,590
1789,University of Alsk Firbnks,591
1790,University of Toledo,592
1791,Crleton University,593
1792,Crnfield University,594
1793,Curtin University,595
1794,Indin Institute of Technology Bomby,596
1795,University of Portsmouth,597
1796,Osk Prefecture University,598
1797,Ngoy City University,599
1798,LSU Helth Sciences Center New Orlens,600
1799,Tt Institute of Fundmentl Reserch,601
1800,Konkuk University,602
1801,University of L Lgun,603
1802,University of Hertfordshire,604
1803,Florid Interntionl University,605
1804,University of Rhode Islnd,606
1805,Mississippi Stte University,607
1806,Gunm University,608
1807,University of New Orlens,609
1808,"Putr University, Mlysi",610
1809,Memoril University of Newfoundlnd,611
1810,Universidde Nov de Lisbo,612
1811,Griffith University,613
1812,Indin Institute of Technology Khrgpur,614
1813,Soochow University (Suzhou),615
1814,Texs A&M Helth Science Center,616
1815,Semmelweis University,617
1816,Lille 2 University of Helth nd Lw,618
1817,Kgoshim University,619
1818,Flinders University,620
1819,Queenslnd University of Technology,621
1820,Toki University,622
1821,Istnbul University,623
1822,Tokyo University of Agriculture nd Technology,624
1823,Louisin Tech University,625
1824,University of Texs t Arlington,626
1825,Chin Agriculturl University,627
1826,Chungnm Ntionl University,628
1827,University of Minho,629
1828,"University of Estern Piedmont ""Amedeo Avogdro"",Itly,33,367,567,218,693,623,645,540,739,44.46,2015
631,""Open University (UK)",630
1829,University of Essex,632
1830,Pris-Est Créteil Vl-de-Mrne University,633
1831,Hcettepe University,634
1832,Stte University of New York Upstte Medicl University,635
1833,Brunschweig University of Technology,636
